model,mse_cormat,mse,seed,data,d_dim
VAE,2.2716313211419996e-4,0.019618634071352222,144,BB Train,18
PCA,0.001387825273179773,0.0601832302174305,144,BB Train,18
VAE,2.2645585767323349e-4,0.019680244409287995,145,BB Train,18
PCA,0.00140633172827225,0.060862637408477006,145,BB Train,18
VAE,2.006997184285129e-4,0.019129367715862728,146,BB Train,18
PCA,0.0014287038425310334,0.06014060320808607,146,BB Train,18
VAE,2.732618389484722e-4,0.020389949848769198,147,BB Train,18
PCA,0.001419185766195743,0.061314001022862163,147,BB Train,18
VAE,2.246126031770485e-4,0.019462207141640445,148,BB Train,18
PCA,0.0013837175737384127,0.059553586121787606,148,BB Train,18
VAE,2.017660468742278e-4,0.019126988120957665,149,BB Train,18
PCA,0.0014902606680941579,0.060690200294817226,149,BB Train,18
VAE,2.2882228076173217e-4,0.020032077220524545,150,BB Train,18
PCA,0.0014551084206012724,0.06266078720900606,150,BB Train,18
VAE,1.9767200303409476e-4,0.018989208047598932,151,BB Train,18
PCA,0.001454726421255566,0.060298331166401535,151,BB Train,18
VAE,2.675939312477443e-4,0.02071591145958448,152,BB Train,18
PCA,0.0014735836344120516,0.0653706566861277,152,BB Train,18
VAE,2.2172898458738103e-4,0.019551988571306786,153,BB Train,18
PCA,0.0014269408362150406,0.06165273025099197,153,BB Train,18
VAE,3.380614253400548e-4,0.02159760476137951,154,BB Train,18
PCA,0.001465087598237258,0.06318535888813162,154,BB Train,18
VAE,2.7882685847148273e-4,0.020598930084756675,155,BB Train,18
PCA,0.0014402598344805647,0.06192326555347854,155,BB Train,18
VAE,2.2611506055143798e-4,0.019471232937350563,156,BB Train,18
PCA,0.001390124283334824,0.05987459211300106,156,BB Train,18
VAE,2.2830053454928745e-4,0.01960059077697737,157,BB Train,18
PCA,0.0013638642564254059,0.05931106612297707,157,BB Train,18
VAE,2.2731831314229034e-4,0.01971713739430258,158,BB Train,18
PCA,0.001383924747646328,0.06043074465137713,158,BB Train,18
VAE,2.0183411944360547e-4,0.019053266730071988,159,BB Train,18
PCA,0.001438082191786776,0.0599382679059056,159,BB Train,18
VAE,2.2427549382153853e-4,0.019691691865589712,160,BB Train,18
PCA,0.001406261852530696,0.06096794905692154,160,BB Train,18
VAE,2.68013427847965e-4,0.020222676284963333,161,BB Train,18
PCA,0.0013950235034536176,0.06078483595142179,161,BB Train,18
VAE,2.6762395602249173e-4,0.02018510158456444,162,BB Train,18
PCA,0.001403696393589952,0.061877912849288695,162,BB Train,18
VAE,2.249263566354302e-4,0.01950897831435522,163,BB Train,18
PCA,0.0014007565902301403,0.060038965677200684,163,BB Train,18
VAE,2.2478160233498036e-4,0.019598380358101946,164,BB Train,18
PCA,0.0013783556435352686,0.059589120804277806,164,BB Train,18
VAE,1.9962882412195084e-4,0.018952272183176373,165,BB Train,18
PCA,0.0014470697021403893,0.060016305928140806,165,BB Train,18
VAE,2.1941730371295555e-4,0.01985051964021411,166,BB Train,18
PCA,0.0014932730317611372,0.06403244896313015,166,BB Train,18
VAE,1.9874888566903375e-4,0.018879372383576995,167,BB Train,18
PCA,0.0015002371607787284,0.0603620505954703,167,BB Train,18
VAE,2.250687177985257e-4,0.019624699089849484,168,BB Train,18
PCA,0.001393103166581608,0.059828028706173576,168,BB Train,18
VAE,2.0173823017401038e-4,0.018758403541197066,169,BB Train,18
PCA,0.0013995487129411634,0.05819549188322051,169,BB Train,18
VAE,2.727556609661392e-4,0.020589647953888155,170,BB Train,18
PCA,0.0014463942152485804,0.06364511687032086,170,BB Train,18
VAE,2.040042247928112e-4,0.019327022542888143,171,BB Train,18
PCA,0.001473838152358036,0.06140583013846953,171,BB Train,18
VAE,2.316232551912487e-4,0.019859055544038936,172,BB Train,18
PCA,0.0014205206617183151,0.06087429129021408,172,BB Train,18
VAE,2.3061004138152705e-4,0.019961909524056052,173,BB Train,18
PCA,0.0014352365242199542,0.06193543922867946,173,BB Train,18
VAE,2.682934244816573e-4,0.020170204375355286,174,BB Train,18
PCA,0.0013850718206908504,0.061152438346863874,174,BB Train,18
VAE,2.250151660345284e-4,0.019524529214811737,175,BB Train,18
PCA,0.0014410873682806139,0.06138210008594125,175,BB Train,18
VAE,2.7283280712156363e-4,0.020095655526202114,176,BB Train,18
PCA,0.001398347561879415,0.060510609361833896,176,BB Train,18
VAE,1.9757193303605706e-4,0.018873064277891347,177,BB Train,18
PCA,0.001473600759001131,0.06022711389417137,177,BB Train,18
VAE,2.2574199743493465e-4,0.019757929850175986,178,BB Train,18
PCA,0.001430728998821291,0.061976937508651325,178,BB Train,18
VAE,2.7019375743415967e-4,0.020230124882414772,179,BB Train,18
PCA,0.0013728404261744275,0.06060100979047434,179,BB Train,18
VAE,2.7348443953988404e-4,0.020760300203207974,180,BB Train,18
PCA,0.0014298850687411802,0.0626808150544072,180,BB Train,18
VAE,2.2838356089273498e-4,0.01972953979737271,181,BB Train,18
PCA,0.0014223242210780552,0.060586242687718984,181,BB Train,18
VAE,2.711572922418389e-4,0.020011380187030598,182,BB Train,18
PCA,0.0013824608195320458,0.059301398685323116,182,BB Train,18
VAE,2.796265959529881e-4,0.02053630994641271,183,BB Train,18
PCA,0.0014051466154862962,0.060627632637755606,183,BB Train,18
VAE,2.7086703276841466e-4,0.020402869705549023,184,BB Train,18
PCA,0.001403826278532011,0.06071227178423824,184,BB Train,18
VAE,2.6752335562380805e-4,0.020377736286775958,185,BB Train,18
PCA,0.0014504959921083787,0.0634395017649486,185,BB Train,18
VAE,2.2701394820597278e-4,0.019783779830827707,186,BB Train,18
PCA,0.00143047123923704,0.06189229575131533,186,BB Train,18
VAE,2.722700766090077e-4,0.02014958053304935,187,BB Train,18
PCA,0.001374490734802032,0.0603377854119831,187,BB Train,18
VAE,2.734920105411691e-4,0.02022542744103454,188,BB Train,18
PCA,0.0013922549743504203,0.061008090808671624,188,BB Train,18
VAE,2.293053496046369e-4,0.019662901540235075,189,BB Train,18
PCA,0.0014214881544590552,0.06064473829854426,189,BB Train,18
VAE,2.7136761368397387e-4,0.020122467220910854,190,BB Train,18
PCA,0.001386616542950702,0.060666489114467745,190,BB Train,18
VAE,2.2711655079753033e-4,0.019605249077461917,191,BB Train,18
PCA,0.0014227300336112673,0.06097496344991692,191,BB Train,18
VAE,1.9967550881096256e-4,0.018826319081470796,192,BB Train,18
PCA,0.0014341687836128304,0.05929632880830881,192,BB Train,18
VAE,1.9688812390304886e-4,0.01881644954686136,193,BB Train,18
PCA,0.0014188669061528938,0.059069264353417396,193,BB Train,18
VAE,2.7046910883276237e-4,0.020271093019697737,194,BB Train,18
PCA,0.0014656277150758826,0.06314821250707205,194,BB Train,18
VAE,4.4585054992587526e-4,0.022219245552255813,195,BB Train,18
PCA,0.0014201656309270722,0.062089756949561786,195,BB Train,18
VAE,2.704218501044373e-4,0.0203805632108141,196,BB Train,18
PCA,0.0014047874457726276,0.06165065801414845,196,BB Train,18
VAE,2.7221938232072513e-4,0.02028767122877435,197,BB Train,18
PCA,0.0013891536595467087,0.06111186130156751,197,BB Train,18
VAE,1.9992998058785715e-4,0.01888570514593377,198,BB Train,18
PCA,0.001482086041127646,0.060358803097132305,198,BB Train,18
VAE,2.2704753708866054e-4,0.019953876024047513,199,BB Train,18
PCA,0.0014705521921905228,0.06320408017762122,199,BB Train,18
VAE,2.2517218345166168e-4,0.019797458384291252,200,BB Train,18
PCA,0.0014172692276265325,0.06179086479360303,200,BB Train,18
VAE,2.694090223308453e-4,0.020434740399037647,201,BB Train,18
PCA,0.0014288961347173924,0.06313554857607029,201,BB Train,18
VAE,2.685866250366944e-4,0.02019457627170474,202,BB Train,18
PCA,0.001445920628639222,0.0630298834936662,202,BB Train,18
VAE,2.2567149746301407e-4,0.01962621149883512,203,BB Train,18
PCA,0.001403910219718124,0.060558725488121794,203,BB Train,18
VAE,2.0114132334895572e-4,0.01889790122032846,204,BB Train,18
PCA,0.0014593716412544062,0.05973922207223014,204,BB Train,18
VAE,2.009563069973058e-4,0.01882928862249235,205,BB Train,18
PCA,0.0014448782218879905,0.059509160056179344,205,BB Train,18
VAE,2.26442756399254e-4,0.019629124931014198,206,BB Train,18
PCA,0.0013876675175206181,0.06014477697226972,206,BB Train,18
VAE,2.2545801605547612e-4,0.01948593042509445,207,BB Train,18
PCA,0.001377302648150832,0.05925817466021746,207,BB Train,18
VAE,1.9859869307014747e-4,0.018941060706937272,208,BB Train,18
PCA,0.0015613350399273657,0.06183123257476369,208,BB Train,18
VAE,2.030239746146641e-4,0.01911740834204332,209,BB Train,18
PCA,0.0014011176339109505,0.05927088186625849,209,BB Train,18
VAE,2.6781837936418917e-4,0.020074805280122177,210,BB Train,18
PCA,0.0013815352138266106,0.0608705000705726,210,BB Train,18
VAE,2.254203351816385e-4,0.019521598809562446,211,BB Train,18
PCA,0.001415393157057218,0.06022426387141232,211,BB Train,18
VAE,1.9874932529970128e-4,0.019050542630142046,212,BB Train,18
PCA,0.0014903143734891176,0.06095058524906838,212,BB Train,18
